Zgomot	SNR	G.729	Ramirez	Van Segbroeck	Sohn	
babble	20	92.2652	93.8964	98.7788	94.4673	
babble	15	92.1461	93.8414	98.6169	94.1689	
babble	10	92.0096	93.7888	98.3934	93.7561	
babble	5	91.8418	93.7082	98.0484	93.2712	
babble	0	91.6654	93.5753	97.4758	92.8444	
babble	-5	91.5863	93.1028	95.4043	93.3817	
factory1	20	92.2754	93.8953	98.8058	94.6059	
factory1	15	92.1606	93.8376	98.6503	94.3582	
factory1	10	92.0339	93.7825	98.4468	94.0024	
factory1	5	91.876	93.7121	98.1429	93.5248	
factory1	0	91.6758	93.622	97.6744	93.0062	
factory1	-5	91.5357	93.5625	96.8639	92.9368	
factory2	20	92.2805	93.9322	98.8362	94.6187	
factory2	15	92.1389	93.8956	98.6894	94.3905	
factory2	10	92.0101	93.8653	98.5033	94.0653	
factory2	5	91.8556	93.838	98.2331	93.6215	
factory2	0	91.662	93.8317	97.8276	93.1464	
factory2	-5	91.5493	94.0153	97.3362	93.1356	
leopard	20	92.3308	93.9353	98.8612	94.6426	
leopard	15	92.2023	93.9038	98.7204	94.4124	
leopard	10	92.1009	93.8756	98.5455	94.0688	
leopard	5	91.9708	93.8503	98.2927	93.5779	
leopard	0	91.7793	93.8392	97.916	92.9463	
leopard	-5	91.5223	93.9404	97.4074	92.0743	
volvo	20	92.4178	93.9463	98.8873	94.6421	
volvo	15	92.2711	93.9126	98.7548	94.4361	
volvo	10	92.1593	93.8606	98.5917	94.1277	
volvo	5	92.0287	93.8124	98.3604	93.6927	
volvo	0	91.858	93.7429	98.0335	93.1565	
volvo	-5	91.668	93.6445	97.6273	92.5486	
